name,shape,g_scale,g_scale_v,levels,ratio,ratio_power,flare,base_splits,base_size,down_angle,down_angle_v,rotate,rotate_v,branches,length,length_v,taper,seg_splits,split_angle,split_angle_v,curve_res,curve,curve_back,curve_v,bend_v,branch_dist,leaf_blos_num,leaf_shape,leaf_scale,leaf_bend
Acer,4,10,1,3,0.025,1.5,0.6,-2,"[0.1, 0.4, 0.02, 0.02]","[0, 50, 50, 45]","[0, 5, 5, 10]","[0, 140, 140, 77]","[0, 0, 0, 0]","[1, 6, 20, 5]","[1, 0.7, 0.3, 0]","[0, 0.05, 0.05, 0]","[1, 1, 1, 1]","[1.5, 1.5, 0, 0]","[50, 50, 0, 0]","[5, 5, 0, 0]","[6, 5, 3, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[200, 100, 100, 0]","[0, 50, 0, 0]","[0, 0, 0, 0]",30,5,0.2,0.3
Apple,2,9,2,3,0.02,1.5,0.9,0,"[0.15, 0.02, 0.02, 0.02]","[0, 60, 60, 45]","[0, -30, 20, 30]","[0, 140, 140, 77]","[0, 0, 0, 0]","[1, 35, 25, 10]","[1, 0.5, 0.4, 0]","[0, 0, 0.1, 0]","[1, 1, 1, 1]","[0, 0.6, 0, 0]","[0, 20, 0, 0]","[0, 10, 0, 0]","[5, 10, 5, 0]","[0, -20, 0, 0]","[0, 0, 0, 0]","[70, 140, 100, 0]","[0, 50, 0, 0]","[0, 0, 0, 0]",50,8,0.17,0.5,0.35,0.08,1,"[0, 0, 2]"
Balsam Fir,0,12,2,3,0.015,1.7,0.2,0,"[0.05, 0.02, 0.02, 0.02]","[0, 50, 60, 45]","[0, -45, 20, 30]","[0, 140, -125, -90]","[0, 0, 20, 20]","[1, 100, 75, 10]","[1, 0.5, 0.25, 0]","[0.2, 0, 0.1, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[5, 5, 2, 0]","[0, -40, 0, 0]","[0, 0, 0, 0]","[20, 10, 40, 0]","[0, 10, 0, 0]","[0, 0, 0, 0]",100,2,0.13,0.5,0
Bamboo,7,10,2,2,0.005,1,0,"[0.4, 0.4, 0, 0]","[0, 30, 30, 30]","[0, 10, 10, 10]","[0, 77, 77, 77]","[0, 30, 0, 0]","[50, 25, 0, 10]","[1, 0.2, 0, 0]","[0, 0.05, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[10, 5, 0, 1]","[50, 30, 0, 0]","[0, 0, 0, 0]","[70, 0, 0, 0]",20,0,0.3,0.3,0.1,"[0, 0, 0]"
Black Oak,2,10,2,3,0.018,1.25,1.2,"[0.05, 0.02, 0.02, 0.02]","[0, 30, 45, 45]","[0, -30, 10, 10]","[0, 80, 140, 140]","[0, 20, 20, 20]","[1, 30, 120, 0]","[1, 0.8, 0.3, 0.4]","[0, 0.1, 0.05, 0]","[0.95, 1, 1, 1]","[0.1, 0.1, 0.1, 0]","[10, 10, 10, 0]","[0, 10, 10, 0]","[8, 10, 3, 1]","[0, 40, 0, 0]","[0, -70, 0, 0]","[90, 150, -30, 0]","[0, 100, 0, 0]",45,6,0.2,0.66,0.3,"[0, 0, 0.8]"
Black Tupelo,4,23,5,4,0.015,1.3,1,0,"[0.2, 0.02, 0.02, 0.02]","[0, 60, 40, 45]","[0, -40, 10, 10]","[0, 140, 140, 140]","[0, 60, 50, 0]","[1, 75, 25, 15]","[1, 0.3, 0.6, 0.2]","[0, 0.05, 0.1, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[10, 10, 10, 1]","[0, 0, -10, 0]","[0, 0, 0, 0]","[40, 90, 150, 0]","[0, 100, 0, 0]","[0, 0, 0, 0]",20,0,0.2,1,0.3
Douglas Fir,0,40,10,3,0.015,1.2,1.0,"[0.2, 0.1, 0.02, 0.02]","[0, 100, 40, 45]","[0, -40, 10, 10]","[0, 140, 140, 140]","[0, 60, 50, 0]","[1, 250, 30, 0]","[1, 0.13, 0.4, 0]","[0, 0, 0.1, 0]","[1, 1, 1, 1]","[0, 0.5, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2, 5, 3, 1]","[0, -35, 0, 0]","[0, 0, 0, 0]","[0, 90, 150, 0]","[0, 50, 0, 0]","[0, 0, 0, 0]",100,2,0.15,0.3,0
European Larch,0,15,7,3,0.015,1.3,0.3,"[0.25, 0.02, 0.02, 0.02]","[0, 60, 70, 30]","[0, -50, 30, 15]","[0, 70, 70, 120]","[0, 30, 30, 30]","[1, 60, 50, 0]","[1, 0.25, 0.3, 0]","[0, 0, 0.1, 0]","[1, 1, 1, 1]","[0, 0, 0.15, 0]","[0, 0, 40, 0]","[0, 0, 10, 0]","[20, 17, 7, 1]","[0, 20, 0, 0]","[0, -100, 0, 0]","[60, 120, 0, 0]",200,2,0.07,0.5,0.1,"[0, 0, -3.0]"
Fan Palm,3,5,2,2,0.04,1.3,0,"[0.8, 0, 0, 0]","[0, 20, -10, 0]","[0, -60, 10, 0]","[0, 160, 260, 0]","[0, 40, 5, 0]","[1, 50, 0, 0]","[1, 0.25, 0, 0]","[0, 0.05, 0, 0]","[2.1, 1.4, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[6, 9, 0, 0]","[10, 50, 0, 0]","[0, -5, 0, 0]","[40, 30, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",-90,10,0.8,0.05,0,"[0, 0, -1]"
Hill Cherry,2,13,3,3,0.015,1.3,0.6,-2,"[0.15, 0.02, 0.02, 0.02]","[0, 70, 60, 45]","[0, 10, 20, 30]","[0, 140, 140, 77]","[0, 0, 0, 0]","[1, 25, 18, 10]","[0.8, 0.5, 0.6, 0]","[0, 0, 0.1, 0]","[1, 1, 1, 1]","[0.5, 0.3, 0, 0]","[40, 40, 0, 0]","[5, 5, 0, 0]","[10, 5, 8, 0]","[30, -20, -40, 0]","[-40, 40, 0, 0]","[150, 150, 150, 0]","[150, 150, 250, 0]","[0, 0, 0, 0]",25,"[0, 0, -1]",1,0.1,1,1,0.7,0.5,0.2,0.5
Lombardy Poplar,2,25,5,3,0.015,1.2,0.8,"[0.01, 0.1, 0.02, 0.02]","[0, 30, 30, 30]","[0, 0, 10, 10]","[0, 77, 77, 77]","[0, 15, 15, 15]","[1, 60, 35, 10]","[1, 0.3, 0.4, 0]","[0, 0, 0.1, 0]","[1, 1, 1, 1]","[1, 3, 3, 1]","[0, -20, -20, 0]","[0, 0, 0, 0]","[0, 0, 40, 0]",30,8,0.3,1,0.7,"[0, 0, 0.5]"
Palm,3,14,3,2,0.015,2,0.3,"[0.95, 0.02, 0, 0]","[0, 60, 50, 0]","[0, -80, -75, 0]","[0, 120, -120, 0]","[0, 60, 20, 0]","[1, 25, 0, 0]","[1, 0.3, 0, 0]","[0, 0.02, 0, 0]","[2.15, 1, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[12, 9, 0, 0]","[20, 40, 0, 0]","[-10, 0, 0, 0]","[10, 20, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",150,10,0.8,0.12,0,"[0, 0, -3]"
Quaking Aspen,7,13,3,3,0.015,1.2,0.6,0,"[0.3, 0.02, 0.02, 0.02]","[0, 60, 60, 45]","[0, -50, 20, 30]","[0, 140, 140, 77]","[0, 0, 0, 0]","[1, 50, 30, 1]","[1, 0.3, 0.6, 0]","[0, 0, 0.1, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[40, 0, 0, 0]","[5, 0, 0, 0]","[5, 5, 5, 0]","[0, -40, -60, 0]","[0, 0, 0, 0]","[20, 100, 100, 0]","[0, 50, 0, 0]","[0, 0, 0, 0]",40,3,0.17,0.6
Sassafras,2,23,7,4,0.02,1.3,0.5,0,"[0.2, 0.02, 0.02, 0.02]","[0, 90, 50, 45]","[0, -10, 10, 10]","[0, 140, 140, 140]","[0, 0, 0, 0]","[1, 20, 20, 30]","[1, 0.4, 0.7, 0.4]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[20, 0, 0, 0]","[5, 0, 0, 0]","[16, 15, 8, 3]","[0, -60, -40, 0]","[0, 30, 0, 0]","[60, 100, 150, 100]",15,0,0.25,0.7,0.3,"[0, 0, 0.5]"
Silver Birch,3,20,5,3,0.015,1.5,0.5,0,"[0.3, 0.1, 0.02, 0.02]","[0, 50, 40, 45]","[0, -20, 10, 10]","[0, 140, 140, 140]","[0, 60, 50, 0]","[1, 30, 60, 0]","[1, 0.3, 0.4, 0]","[0, 0.05, 0.2, 0]","[1, 1, 1, 1]","[0, 0.3, 0, 0]","[15, 10, 0, 0]","[0, 0, 0, 0]","[10, 10, 10, 0]","[0, 0, -10, 0]","[0, 0, 0, 0]","[50, 150, 200, 0]","[0, 100, 0, 0]","[0, 0, 0, 0]",65,3,0.15,1,0.2,"[0, 0, -2]"
Small Pine,0,6,0.5,2,0.02,1.3,0.3,"[0.05, 0.02, 0.02, 0.02]","[0, 30, 30, 0]","[0, -60, 10, 0]","[0, 140, 140, 0]","[0, 30, 20, 0]","[1, 70, 0, 0]","[1, 0.35, 0, 0]","[0, 0.05, 0, 0]","[1, 1, 0, 0]","[0, 2, 0, 0]","[0, -80, 0, 0]","[0, -30, 0, 0]","[5, 6, 0, 0]","[0, -20, 0, 0]","[0, 0, 0, 0]","[10, 90, 0, 0]","[0, 70, 0, 0]","[0, 3.5, 0, 0]",400,2,0.17,0.3,0,"[0, 0, 0]"
Sphere Tree,3,6,0,3,0.025,1.5,0.6,0,"[0.5, 0.02, 0.02, 0.02]","[0, 70, 45, 45]","[0, 20, 10, 10]","[0, 100, 140, 77]","[0, 0, 0, 0]","[1, 70, 75, 10]","[1, 1, 1, 0]","[0, 0, 0, 0]","[2, 1, 1, 1]","[0, 0, 0, 0]","[40, 0, 0, 0]","[5, 0, 0, 0]","[5, 5, 3, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[-40, 75, 75, 0]","[0, 50, 0, 0]","[0, 0, 0, 0]",25,0,0.17,1,0.3,"[0, 0, 0]",1,0.3,0.5,0.5,0.5
Weeping Willow,4,15,3,4,0.03,1.2,0.75,2,"[0.05, 0.3, 0.05, 0.05]","[0, 40, 30, 20]","[0, 10, 10, 10]","[0, -120, -120, 140]","[0, 30, 30, 0]","[1, 17, 25, 75]","[1, 0.35, 2.0, 0.1]","[0, 0.1, 0, 0]","[1, 1, 1, 1]","[0.2, 0.2, 0.1, 0]","[40, 30, 45, 0]","[5, 10, 20, 0]","[8, 16, 12, 2]","[0, 40, 0, 0]","[25, 0, 0, 0]","[90, 200, 0, 0]","[0, 160, 0, 0]","[0, 0, 0, 0]","[1, 1, 0.1, 1]",20,0,0.13,0.2,0,"[0, 0, -3]",1,0.4,0.6,0.001,0.5
